	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112	114	116	118	120	122	124	126	128	130	132	134
BP093_83_VAG_PM040_1_1_R1_subset - nextera_transposase_sequence	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0025	0.03	0.07600000000000001	0.117	0.1835	0.2525	0.3105	0.366	0.442	0.5455	0.658	0.735	0.8255	0.9445	1.065	1.197	1.31	1.4135	1.568	1.745	1.9015	2.035	2.1654999999999998	2.3145	2.515	2.7394999999999996	2.918	3.0595	3.2265	3.46	3.683	3.8445	3.9924999999999997	4.1745	4.4085	4.699	4.928	5.1375	5.3285	5.5565	5.8025	6.0705	6.2829999999999995	6.4805	6.734	7.013	7.314	7.5775	7.8175	8.05	8.350999999999999	8.6655	8.937000000000001	9.0425	9.2355
	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112	114	116	118	120	122	124	126	128	130	132	134
BP093_83_VAG_PM040_1_1_R2_subset - nextera_transposase_sequence	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.0035	0.0295	0.07650000000000001	0.11750000000000001	0.1845	0.254	0.314	0.3685	0.443	0.5449999999999999	0.6565000000000001	0.7344999999999999	0.8245	0.9435	1.061	1.1909999999999998	1.302	1.4055	1.5585	1.734	1.892	2.0265	2.1555	2.3040000000000003	2.5054999999999996	2.7275	2.9035	3.0439999999999996	3.2065	3.436	3.66	3.8225	3.966	4.141500000000001	4.375	4.651	4.874	5.069000000000001	5.245	5.4715	5.7365	6.0055	6.211	6.3885000000000005	6.6265	6.9145	7.2215	7.487	7.718	7.974	8.273499999999999	8.569500000000001	8.852	9.1335	9.4115
	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112	114	116	118	120	122	124	126	128	130	132	134
BP130_114_VAG_PM042_2_1_R1_subset - nextera_transposase_sequence	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.001	0.001	0.0025	0.008	0.0185	0.0505	0.093	0.15300000000000002	0.22699999999999998	0.3095	0.365	0.4305	0.528	0.6315	0.741	0.825	0.925	1.0525	1.1785	1.3075	1.424	1.53	1.6655	1.8290000000000002	1.9859999999999998	2.0935	2.2105	2.359	2.5275	2.7024999999999997	2.8564999999999996	2.9939999999999998	3.145	3.3625	3.584	3.766	3.925	4.1080000000000005	4.3165	4.542	4.757	4.9375	5.112	5.3580000000000005	5.6235	5.8725000000000005	6.0615000000000006	6.263	6.5115	6.7620000000000005	7.0105	7.237500000000001	7.4365000000000006	7.649	7.914	8.1765	8.413499999999999	8.504	8.704999999999998
	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112	114	116	118	120	122	124	126	128	130	132	134
BP130_114_VAG_PM042_2_1_R2_subset - nextera_transposase_sequence	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.001	0.001	0.001	0.001	0.0035	0.0385	0.08099999999999999	0.1255	0.1985	0.28300000000000003	0.33899999999999997	0.398	0.491	0.606	0.718	0.7895000000000001	0.877	1.0	1.135	1.27	1.389	1.484	1.6135	1.784	1.948	2.051	2.157	2.2954999999999997	2.471	2.652	2.8114999999999997	2.9405	3.0869999999999997	3.298	3.5134999999999996	3.6965	3.867	4.0395	4.251	4.4765	4.693	4.874	5.039	5.259	5.536	5.8025	5.9895	6.186999999999999	6.4265	6.677	6.9415	7.1655	7.3605	7.5875	7.846	8.106	8.3595	8.604	8.879000000000001
	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112	114	116	118	120	122	124	126	128	130	132	134
BP143_125_RCT_PM017_1_1_R1_subset - nextera_transposase_sequence	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0018412815319462346	0.011047689191677406	0.060762290554225745	0.13441355183207512	0.1970171239182471	0.2761922297919352	0.37746271404897813	0.4492726937948812	0.5615908672436015	0.6812741668201068	0.8433069416313754	1.0034984349106977	1.1250230160191492	1.2612778493831707	1.4141042165347082	1.5816608359418156	1.7492174553489228	1.914932793224084	2.0511876265881055	2.2187442459952127	2.4470631559565454	2.668016939790094	2.82636715153747	2.988399926348739	3.1909408948628246	3.4413551832075124	3.704658442275824	3.951390167556619	4.1152642238998345	4.332535444669491	4.540600257779414	4.860983244338059	5.148223163321672	5.3931136070705215	5.601178420180446	5.851592708525134	6.212483888786595	6.4739458663229605	6.698582213220401	6.9397900939053585	7.228871294420918	7.51611121340453	7.81439882157982	8.081384643712024	8.306020990609465	8.593260909593077	8.9486282452587	9.228503038114528	9.497330141778678	9.767998526974775	10.02025409685141	10.397716810900386	10.749401583502117	11.058736880869084	11.165531209721966	11.408580371938868
	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112	114	116	118	120	122	124	126	128	130	132	134
