asv0000085	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_NK4A136_group;bacterium
asv0000086	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Acetatifactor
asv0000087	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillibacter
asv0000088	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae
asv0000089	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
asv0000090	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae
asv0000091	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes
asv0000092	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_NK4A136_group
asv0000093	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae
asv0000094	Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Parasutterella
asv0000095	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae
asv0000096	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;acidifaciens
asv0000097	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Butyricicoccus
asv0000098	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae
asv0000099	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae
asv0000100	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales_vadinBB60_group
asv0000101	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium
asv0000102	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_UCG-006
asv0000103	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium
asv0000104	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae
asv0000105	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_NK4A136_group
asv0000106	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae
asv0000107	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_NK4A136_group
asv0000108	Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Turicibacter
asv0000109	Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus
asv0000110	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus
asv0000111	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium
asv0000112	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_NK4A136_group
asv0000113	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
asv0000114	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae
asv0000115	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae
asv0000116	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinifilaceae;Odoribacter
asv0000117	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_NK4A136_group
asv0000118	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_NK4A136_group
asv0000119	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_UCG-001
asv0000120	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
asv0000121	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
asv0000122	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
asv0000123	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae
asv0000124	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
asv0000125	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae
asv0000126	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
asv0000127	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
asv0000128	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
asv0000129	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
asv0000130	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_NK4A136_group
asv0000131	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia
asv0000132	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia/Shigella
asv0000133	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia
asv0000134	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
asv0000135	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_UCG-001
asv0000136	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_UCG-006
asv0000137	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
asv0000138	Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae
asv0000139	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales_vadinBB60_group
asv0000140	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;ASF356
asv0000141	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium_9
asv0000142	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_NK4A136_group
asv0000143	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
asv0000144	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillibacter
asv0000145	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
asv0000146	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Intestinimonas
asv0000147	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales_vadinBB60_group
asv0000148	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia
asv0000149	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_NK4A136_group
asv0000150	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
asv0000151	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae
asv0000152	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae
asv0000153	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales_vadinBB60_group
asv0000154	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
asv0000155	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia
asv0000156	Bacteria;Cyanobacteria;Melainabacteria;Gastranaerophilales
asv0000157	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes
asv0000158	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Eisenbergiella
asv0000159	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium_5
asv0000160	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
asv0000161	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium_9
asv0000162	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium
asv0000163	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
asv0000164	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_NK4A136_group
asv0000165	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae
asv0000166	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae
asv0000167	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
asv0000168	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae
asv0000169	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
asv0000170	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella
asv0000171	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae
asv0000172	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium
asv0000173	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
asv0000174	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
asv0000175	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
asv0000176	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;A2
asv0000177	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium_6
asv0000178	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_FCS020_group
asv0000179	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae
asv0000180	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales_vadinBB60_group
asv0000181	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium
asv0000182	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium
asv0000183	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_NK4A136_group
asv0000184	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaerotruncus
asv0000185	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium
asv0000186	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium
asv0000187	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_NK4A136_group
asv0000188	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_NK4A136_group
asv0000189	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;A2
