Sequence	A	B
NODE_904	1	1
NODE_905	1	0
NODE_906	1	0
NODE_907	1	0
NODE_912	0	1
NODE_913	1	0
NODE_915	0	1
NODE_916	2	2
NODE_922	1	0
NODE_924	0	1
NODE_925	1	0
NODE_926	0	1
NODE_929	1	0
NODE_932	1	0
NODE_939	1	0
NODE_940	0	1
NODE_941	1	0
NODE_942	0	1
NODE_946	0	1
NODE_948	0	1
NODE_949	1	0
NODE_950	0	1
NODE_952	0	1
NODE_953	0	1
NODE_956	0	1
NODE_957	1	0
NODE_959	0	1
NODE_961	1	0
NODE_962	0	1
NODE_963	1	0
NODE_965	0	1
NODE_966	1	0
NODE_967	0	1
NODE_972	1	1
NODE_973	0	1
NODE_974	0	1
NODE_977	0	1
NODE_981	1	0
NODE_982	2	0
NODE_988	1	0
NODE_990	0	1
NODE_991	1	0
NODE_996	1	0
NODE_998	1	0
NODE_1000	1	0
NODE_1001	1	0
NODE_1003	1	0
NODE_1004	1	0
NODE_1005	0	1
NODE_1010	0	1
NODE_1014	0	1
NODE_1016	1	0
NODE_1019	1	0
NODE_1020	0	1
NODE_1021	1	0
NODE_1025	1	0
NODE_1028	1	0
NODE_1029	2	0
NODE_1031	0	1
NODE_1033	0	1
NODE_1036	0	1
NODE_1038	1	0
NODE_1045	0	1
NODE_1046	0	1
NODE_1048	0	1
NODE_1049	6	1
NODE_1050	0	3
NODE_1051	1	0
NODE_1053	0	1
NODE_1061	1	0
NODE_1062	1	0
NODE_1063	1	0
NODE_1065	1	0
NODE_1068	0	1
NODE_1069	0	1
NODE_1072	1	0
NODE_1073	0	1
NODE_1078	1	0
NODE_1086	0	1
NODE_1087	1	0
NODE_1094	0	1
NODE_1095	1	0
NODE_1099	0	1
NODE_1102	1	0
NODE_1104	0	1
NODE_1105	0	1
NODE_1118	1	1
NODE_1124	1	0
NODE_1129	1	2
NODE_1131	0	1
NODE_1140	1	1
NODE_1141	1	0
NODE_1142	0	1
NODE_1144	1	0
NODE_1146	1	0
NODE_1149	0	1
NODE_1151	0	1
NODE_1153	1	0
NODE_1161	0	1
NODE_1166	1	0
NODE_1169	2	0
NODE_1170	2	0
NODE_1173	1	0
NODE_1174	0	1
NODE_1178	0	1
NODE_1180	1	0
NODE_1181	1	0
NODE_1187	1	0
NODE_1191	1	0
NODE_1193	1	0
NODE_1195	1	0
NODE_1197	1	0
NODE_1204	0	1
NODE_1206	1	0
NODE_1207	1	0
NODE_1209	1	0
NODE_1210	0	1
NODE_1212	1	0
NODE_1218	1	0
NODE_1219	1	0
NODE_1222	0	1
NODE_1226	1	0
NODE_1229	1	0
NODE_1234	0	1
NODE_1240	0	1
NODE_1241	0	1
NODE_1244	0	1
NODE_1245	1	0
NODE_1246	1	1
NODE_1251	0	1
NODE_1253	1	0
NODE_1254	0	1
NODE_1259	1	0
NODE_1261	2	0
NODE_1262	1	1
NODE_1266	1	0
NODE_1268	0	1
NODE_1279	0	1
NODE_1284	1	0
NODE_1285	0	1
NODE_1287	2	0
NODE_1288	1	0
NODE_1291	0	1
NODE_1293	1	0
NODE_1294	0	1
NODE_1297	1	0
NODE_1298	1	0
NODE_1299	1	1
NODE_1300	1	0
NODE_1302	0	1
NODE_1307	1	1
NODE_1309	5	1
NODE_1310	0	1
NODE_1313	0	1
NODE_1314	1	0
NODE_1316	0	1
NODE_1322	1	0
NODE_1325	1	0
NODE_1326	2	0
NODE_1337	1	0
NODE_1341	1	0
NODE_1345	0	1
NODE_1346	1	0
NODE_1347	1	0
NODE_1349	1	0
NODE_1350	1	0
NODE_1353	1	0
NODE_1354	0	1
NODE_1355	1	0
NODE_1356	1	0
NODE_1357	0	1
NODE_1359	3	0
NODE_1361	1	1
NODE_1364	1	0
NODE_1365	1	0
NODE_1366	0	1
NODE_1370	1	0
NODE_1372	1	0
NODE_1375	1	0
NODE_1376	0	2
NODE_1377	1	0
NODE_1378	1	0
NODE_1379	1	0
NODE_1381	1	0
NODE_1385	0	1
NODE_1386	0	1
NODE_1388	0	2
NODE_1390	0	1
NODE_1391	1	0
NODE_1396	1	0
NODE_1400	1	0
NODE_1401	0	1
NODE_1402	1	0
NODE_1406	0	1
NODE_1408	1	0
NODE_1409	1	0
NODE_1411	1	0
NODE_1412	1	0
NODE_1416	1	0
NODE_1417	0	1
NODE_1427	1	0
NODE_1431	1	0
NODE_1432	1	0
NODE_1433	0	1
NODE_1436	0	1
NODE_1437	0	1
NODE_1438	1	0
NODE_1440	1	0
NODE_1442	1	0
NODE_1443	1	0
NODE_1447	0	1
NODE_1448	1	0
NODE_1450	1	0
NODE_1452	0	1
NODE_1453	1	0
NODE_1459	1	0
NODE_1461	1	0
NODE_1462	0	1
NODE_1470	1	0
NODE_1471	0	1
NODE_1473	0	1
NODE_1478	1	0
NODE_1481	0	1
NODE_1483	2	0
NODE_1484	1	1
NODE_1488	0	1
NODE_1494	0	1
NODE_1496	1	0
NODE_1499	0	1
NODE_1501	1	0
NODE_1503	1	0
NODE_1504	1	0
NODE_1507	1	0
NODE_1510	0	2
NODE_1511	1	0
NODE_1512	1	1
NODE_1513	0	1
NODE_1514	1	2
NODE_1516	1	0
NODE_1517	0	1
NODE_1519	0	1
NODE_1521	0	1
NODE_1526	0	1
NODE_1529	1	0
NODE_1534	0	1
NODE_1536	0	1
NODE_1541	1	0
NODE_1542	0	1
NODE_1544	1	0
NODE_1547	0	2
NODE_1550	0	1
NODE_1551	1	0
NODE_1555	0	1
NODE_1562	3	3
NODE_1569	1	0
NODE_1571	0	1
NODE_1572	1	0
NODE_1575	1	0
NODE_1577	1	1
NODE_1578	2	0
NODE_1579	0	1
NODE_1590	0	1
NODE_1592	1	0
NODE_1600	1	0
NODE_1602	1	0
NODE_1604	0	1
NODE_1608	0	1
NODE_1611	1	0
NODE_1613	1	0
NODE_1615	1	0
NODE_1618	1	0
NODE_1620	0	1
NODE_1627	0	1
NODE_1630	1	0
NODE_1633	1	0
NODE_1638	0	1
NODE_1641	1	0
NODE_1642	0	1
NODE_1644	1	0
NODE_1649	0	1
NODE_1650	2	0
NODE_1651	0	1
NODE_1654	1	1
NODE_1659	0	1
NODE_1662	0	1
NODE_1666	0	1
NODE_1669	1	0
NODE_1674	0	1
NODE_1682	0	1
NODE_1685	0	1
NODE_1686	0	1
NODE_1688	1	0
NODE_1689	1	0
NODE_1690	0	1
NODE_1702	0	1
NODE_1703	1	0
NODE_1704	2	0
NODE_1706	0	1
NODE_1712	1	0
NODE_1714	1	0
NODE_1718	0	1
NODE_1719	0	1
NODE_1723	0	1
NODE_1726	1	0
NODE_1729	1	0
NODE_1730	1	0
NODE_1731	1	0
NODE_1739	0	1
NODE_1744	0	1
NODE_1745	0	1
NODE_1754	0	1
NODE_1759	1	0
NODE_1763	1	0
NODE_1764	1	0
NODE_1773	1	0
NODE_1778	1	0
NODE_1779	1	0
NODE_1780	0	1
NODE_1781	0	1
NODE_1784	0	1
NODE_1785	0	2
NODE_1787	0	1
NODE_1792	1	0
NODE_1794	0	1
NODE_1800	0	1
NODE_1804	1	0
NODE_1806	0	1
NODE_1809	0	1
NODE_1810	1	0
NODE_1817	1	0
NODE_1818	1	0
NODE_1823	0	1
NODE_1826	0	1
NODE_1831	1	0
