Geneid	SRR22405441	SRR22405442	SRR22405445	SRR22405453	SRR22405460	SRR22405461	SRR22405467	SRR22405532	SRR22405538	SRR22405544
6695_15	0	0	2	9	0	0	0	0	0	0
6695_16	0	0	2	7	0	0	0	0	0	0
6695_17	0	0	5	21	0	0	0	0	0	1
6695_18	0	0	1	19	0	0	0	0	0	1
6695_19	0	0	3	18	0	0	0	0	1	0
6695_20	0	0	0	17	0	0	0	0	1	0
6700_1	3	2	2	1	3	7	0	4	151	1
6701_1	14	0	2	4	0	3	0	0	0	2
6701_2	3	0	0	4	0	3	0	0	0	0
1744_1	2	1	2	3	4	2	0	0	3	5
1744_2	5	2	1	2	2	5	0	0	7	7
6708_1	0	0	0	0	0	0	0	0	23	0
6719_1	0	0	0	0	0	0	0	0	6	0
6719_2	1	0	1	0	0	2	0	0	24	1
6729_1	0	0	3	3	0	0	0	1	0	0
6729_2	0	0	7	24	0	0	0	0	0	1
6729_3	0	0	4	7	0	0	0	0	0	0
6729_4	0	0	2	4	0	0	0	0	0	0
6733_1	0	0	0	0	0	17	0	0	1	0
6733_2	0	0	0	0	0	7	0	0	0	0
6736_1	1	0	0	2	0	6	0	0	3	342
6736_2	0	0	2	0	0	0	0	0	1	10
6739_1	0	2	0	0	1	0	11	0	0	0
6739_2	0	0	0	0	4	0	20	0	0	0
6739_3	0	0	0	0	3	0	7	0	0	0
6751_1	8	0	3	4	0	4	0	0	0	1
6751_2	34	0	7	8	1	4	0	0	0	4
6751_3	9	0	4	4	0	0	0	0	0	0
6751_4	9	0	1	7	0	2	0	0	0	0
6751_5	11	0	3	4	0	2	0	0	0	4
6751_6	13	0	1	9	0	0	0	0	0	3
6751_7	0	0	0	0	0	0	0	0	0	0
6751_8	5	0	6	8	0	2	0	0	0	1
6751_9	27	0	7	15	0	5	0	0	0	5
6751_10	19	0	8	6	1	3	0	0	0	3
6754_1	0	0	0	0	0	0	0	0	2	0
6754_2	0	0	0	0	0	0	0	0	2	0
6754_3	0	0	0	0	0	1	2	0	8	0
6754_4	0	0	0	0	0	1	0	0	8	0
1747_1	7	0	2	0	0	0	0	0	0	0
1747_2	6	0	2	1	0	0	0	0	1	0
1747_3	0	0	0	1	0	0	0	0	1	0
6760_1	0	0	0	0	0	1	0	33	0	0
6760_2	0	1	0	0	0	1	0	19	0	0
6760_3	0	0	0	0	0	0	0	8	0	0
6763_1	13	0	0	2	0	1	0	0	0	0
6763_2	12	0	5	6	0	0	0	0	0	2
6763_3	14	0	2	2	0	2	0	0	0	3
6763_4	2	1	0	0	0	1	0	0	0	0
1772_1	0	0	0	0	0	0	0	0	0	0
1772_2	0	10	2	1	13	1	41	1	0	0
1772_3	0	2	0	0	2	1	22	0	0	0
1772_4	0	2	0	0	0	1	14	0	0	1
1772_5	0	4	0	0	6	1	17	1	0	0
1772_6	0	5	0	0	16	0	35	0	0	3
1772_7	0	7	1	1	8	2	30	0	0	1
1772_8	0	3	0	1	10	0	13	1	0	0
1772_9	3	9	1	0	17	12	41	0	0	1
1772_10	1	1	0	0	5	5	15	1	0	0
1772_11	0	1	0	0	2	0	13	0	0	0
1772_12	0	3	0	0	20	3	37	2	0	0
1772_13	0	25	0	0	49	11	116	1	0	0
1772_14	0	3	0	0	5	2	19	0	0	0
1772_15	0	0	0	0	0	0	4	0	0	0
1772_16	0	13	0	0	19	4	43	0	0	0
1772_17	0	6	1	1	12	3	52	1	0	0
6770_1	0	0	0	2	0	0	0	0	1	0
6770_2	0	0	3	0	0	0	0	0	6	1
6780_1	30	0	28	19	5	11	0	0	16	16
1777_1	0	0	0	1	5	0	22	0	0	0
1777_2	0	0	0	0	1	0	4	0	0	0
6783_1	0	0	0	0	2	0	8	0	0	0
6783_2	0	0	0	0	2	0	2	0	0	0
6783_3	0	0	0	0	1	0	10	0	0	0
6783_4	0	0	0	0	5	0	11	0	0	0
6785_1	11	0	2	3	4	1	0	0	0	2
6785_2	11	0	6	8	2	1	0	0	1	2
6785_3	0	0	0	0	0	0	0	0	0	0
6787_1	0	0	0	0	0	6	0	0	14	0
