Sequence	SRR22405441	SRR22405442	SRR22405445	SRR22405453	SRR22405460	SRR22405461	SRR22405467	SRR22405532	SRR22405538	SRR22405544
k141_62855	47	0	19	24	0	3	0	1	1	2
k141_87991	0	0	0	0	4	0	24	0	0	0
k141_75477	0	0	0	0	0	17	0	0	6	1
k141_75480	2	0	0	0	0	1	0	0	17	0
k141_62862	0	0	0	0	1	1	0	0	5	27
k141_188	2	46	3	1	79	8	187	4	0	2
k141_12703	0	0	1	0	13	1	35	0	0	0
k141_62872	1	0	3	10	3	3	0	0	2	8
k141_37830	1	0	1	1	3	5	0	0	0	6
k141_193	5	0	1	7	0	84	0	0	9	36
k141_62874	2	1	0	1	0	0	0	0	11	65
k141_37835	18	20	1	2	15	98	9	48	0	14
k141_25232	33	94	14	13	25	1	60	170	93	7
k141_62879	0	0	0	0	9	1	29	0	0	0
k141_75482	163	0	55	71	1	17	0	0	0	13
k141_25234	20	36	8	9	9	2	13	67	33	1
k141_12716	0	0	0	0	46	2	126	0	0	0
k141_12717	0	0	1	0	0	1	0	0	14	2
k141_62882	1	0	0	1	2	0	0	122	2	0
k141_37850	6	0	0	9	0	0	0	1	0	12
k141_25244	0	0	0	0	0	0	0	0	21	1
k141_75492	1	1	0	0	0	1	0	0	57	0
k141_25248	2	1	1	4	0	2	0	0	12	0
k141_87999	197	23	420	552	1290	103	86	10	161	143
k141_62885	57	0	11	22	0	7	0	0	0	5
k141_88002	17	0	10	26	2	4	0	0	22	20
k141_62888	0	0	0	0	5	0	15	0	0	0
k141_25250	6	6	6	6	20	4	17	0	0	5
k141_88003	0	0	0	0	5	0	19	0	0	0
k141_75499	9	12	12	4	23	11	21	0	0	7
k141_37851	1	0	0	0	40	1	131	0	1	0
k141_12719	126	43	27	83	150	117	20	7	3	91
k141_88007	1	0	0	0	0	2	0	1	24	0
k141_25255	0	0	0	0	7	0	31	0	0	0
k141_37855	0	0	0	0	0	13	0	0	0	1
k141_75508	0	0	6	23	0	0	0	0	0	0
k141_88010	0	0	6	5	1	0	0	0	5	0
k141_200	63	170	39	44	75	8	93	469	236	11
k141_75511	0	0	0	2	0	8	0	0	1	7
k141_12722	0	0	13	64	0	2	0	1	2	3
k141_25257	5	0	3	23	2	2	1	0	2	12
k141_12723	1	0	0	1	0	18	1	2	0	0
