Sequence	SRR22405441	SRR22405442	SRR22405445	SRR22405453	SRR22405460	SRR22405461	SRR22405467	SRR22405532	SRR22405538	SRR22405544
k141_69492	0	0	0	0	0	1	0	0	19	0
k141_31034	1	0	16	64	0	1	1	0	2	1
k141_6428	11	0	7	8	0	0	0	1	0	4
k141_93090	0	0	0	1	0	1	0	0	2	22
k141_69494	0	0	2	0	0	1	0	0	2	15
k141_31036	0	0	0	0	0	16	1	0	1	1
k141_6430	0	0	8	43	0	2	0	0	2	1
k141_31038	2	0	0	0	0	16	1	0	7	1
k141_93093	0	0	0	0	17	0	27	0	0	1
k141_6431	1	6	0	0	3	2	0	0	0	2
k141_55136	85	3	84	177	7	63	2	2	37	129
k141_6434	0	1	0	1	0	0	0	0	0	72
k141_80531	0	0	0	0	0	1	0	0	16	2
k141_93099	0	0	0	0	0	1	0	0	2	20
k141_18216	2	38	17	1	28	2	38	202	1	1
k141_69504	0	0	2	0	0	1	0	0	7	52
k141_55137	0	0	16	50	0	0	0	0	2	4
k141_31050	9	16	4	9	13	8	12	0	0	5
k141_18222	3	0	1	2	3	0	1	280	0	0
k141_55140	4	1	1	3	0	4	0	0	34	3
k141_55143	0	0	5	8	0	0	0	0	4	0
k141_18225	43	1	7	8	0	4	0	0	0	5
k141_69506	0	0	0	2	0	2	0	0	135	0
k141_93119	0	0	0	0	0	0	0	0	4	28
k141_80538	1	0	29	139	0	1	0	0	0	5
k141_31054	49	0	8	20	1	4	0	0	0	3
k141_55150	0	1	2	1	0	2	0	0	21	1
k141_55152	13	0	0	0	0	0	0	0	3	0
k141_69513	2	0	1	13	3	3	0	0	2	10
k141_31058	0	0	0	0	0	27	0	0	0	0
k141_55154	15	0	5	7	0	5	0	0	0	3
k141_31060	1	0	1	0	0	1	0	0	3	15
k141_93123	0	0	0	0	23	0	52	0	0	1
k141_18226	0	1	46	180	0	1	0	0	0	2
k141_55164	5	1	3	8	1	12	1	2	28	76
k141_93124	58	0	6	22	1	11	0	2	2	10
k141_18236	0	1	0	0	9	0	25	0	1	0
k141_55168	0	0	0	1	3	3	0	0	4	0
k141_93125	0	0	2	14	0	0	0	0	7	0
k141_18237	0	0	3	0	0	0	0	0	8	1
k141_80542	114	4	93	96	15	21	2	4	0	150
k141_31073	65	0	23	15	1	5	0	0	2	5
k141_18242	0	0	0	0	12	0	25	0	1	2
k141_93126	0	0	3	0	0	0	0	0	10	82
k141_55180	2	1	2	6	1	3	0	0	6	7
k141_31076	10	2	2	9	6	10	0	0	2	8
k141_80543	16	26	10	12	27	11	36	0	2	9
k141_55182	1	0	0	0	8	0	35	0	0	0
k141_80545	0	0	2	1	0	1	0	0	6	40
k141_93142	4	0	1	1	0	5	0	0	17	6
k141_55188	17	0	0	0	0	0	0	0	0	4
k141_55190	2	0	1	6	3	3	0	1	1	6
k141_55191	56	1	16	17	1	2	0	0	1	3
k141_31080	312	1	339	348	12	6	0	1	106	89
k141_93148	0	2	0	1	1	7	0	0	148	1
k141_18263	252	0	320	295	6	8	0	1	80	82
k141_93150	12	0	0	0	0	0	0	0	1	8
k141_31086	0	0	0	0	0	24	0	0	0	0
k141_18269	0	0	0	0	0	9	0	0	12	0
k141_55201	0	0	0	1	1	9	0	0	56	1
k141_18274	4	2	2	1	8	0	0	0	9	10
k141_80566	130	0	53	56	1	13	0	0	0	14
k141_18278	5	10	2	3	15	8	17	5	0	1
k141_31087	8	1	50	213	1	18	0	0	12	12
k141_80582	4	9	0	0	6	3	7	1	0	7
k141_93151	22	237	6	23	22	8	3	32	5	13
k141_69516	499	155	87	319	582	508	46	28	6	283
k141_6435	178	453	111	111	200	28	307	1327	668	38
k141_80587	0	0	2	0	0	1	0	0	2	19
k141_6440	0	0	0	0	4	1	16	0	0	0
k141_69523	4	0	1	8	2	1	0	0	4	2
k141_93153	37	0	9	15	1	2	0	0	0	5
k141_31098	13	0	1	6	0	3	0	0	0	2
k141_6442	3	7	1	0	4	3	7	0	0	0
k141_18287	49	0	48	43	8	32	0	0	18	30
k141_80590	23	0	9	14	1	2	0	0	0	0
k141_31099	0	0	0	0	8	0	45	0	0	0
k141_18289	21	31	12	5	10	8	10	40	7	24
k141_93164	2	0	0	8	0	1	1	0	2	12
k141_31103	3	11	19	5	34	30	3	1	0	0
k141_80597	0	0	3	0	0	0	0	1	4	30
k141_6452	0	0	0	0	0	0	0	0	3	23
k141_93167	0	0	9	48	1	0	0	0	1	1
k141_31107	4	0	0	3	0	18	0	0	12	1
k141_69524	1	1	0	85	10	3	0	195	1	83
k141_31109	2	0	1	3	0	16	0	0	31	19
k141_31112	10	0	0	2	1	0	0	0	0	0
k141_80609	238	369	5	17	191	2023	133	784	1	142
k141_93186	0	0	2	0	0	0	0	0	15	0
k141_6468	0	23	6	2	13	0	37	142	0	0
k141_18314	5	22	5	5	18	8	10	0	0	10
k141_80615	3	6	1	0	8	3	2	0	0	2
k141_6471	2	0	0	0	0	1	0	0	23	0
k141_69525	1	1	0	0	3	18	0	0	249	4
k141_93195	0	0	14	16	0	1	0	0	16	0
k141_18315	0	1	0	0	0	0	2	33	0	1
k141_31125	0	0	0	0	0	1	1	109	0	0
k141_6475	12	0	10	8	1	4	0	0	0	4
k141_69526	0	0	0	0	0	1	0	0	5	59
k141_18322	19	1	12	33	0	13	0	1	26	13
k141_93202	0	0	0	0	9	2	28	0	0	0
k141_18323	1	1	0	0	0	2	0	18	2	2
k141_93203	0	0	2	3	0	1	0	0	6	26
k141_69530	3	0	1	3	1	1	0	0	12	44
k141_80617	4	1	29	170	0	5	1	0	11	7
k141_55204	1261	1	1396	1497	32	24	3	3	454	393
k141_18330	0	0	0	0	11	0	32	0	0	0
k141_93204	10	17	1	7	16	9	8	0	0	2
k141_31126	1	62	3	3	97	26	222	11	3	3
k141_18335	0	0	2	1	0	0	0	0	2	10
k141_31129	0	0	0	0	0	0	0	0	11	0
k141_69534	17	17	4	18	25	8	22	0	2	10
k141_80630	0	0	6	4	1	0	0	0	10	0
k141_31131	1	0	12	9	1	4	0	0	0	0
k141_55217	0	0	2	1	1	3	1	0	26	2
k141_69536	0	0	0	0	0	0	0	0	16	0
k141_18342	1	0	0	0	0	21	0	0	1	3
k141_80631	3	0	11	5	3	34	0	1	15	4
k141_6476	146	0	184	81	11	72	0	1	32	70
k141_80634	20	0	12	7	0	1	0	0	0	4
k141_69541	0	2	0	0	7	0	15	0	0	0
k141_55221	4	3	2	7	5	6	0	0	0	4
k141_80635	0	0	0	0	0	14	0	1	0	3
k141_6478	15	35	4	2	12	144	10	40	0	8
k141_31139	0	0	0	2	0	0	0	0	24	0
k141_93225	0	0	0	0	0	0	0	0	2	23
k141_6480	3	8	3	0	1	4	8	5	6	2
k141_31142	5	0	0	0	0	0	0	0	16	11
k141_6481	9	1	1	1	0	0	0	0	1	3
k141_18346	1	0	34	104	0	0	0	0	4	3
k141_93230	0	0	0	0	0	0	0	0	22	0
k141_80641	7	12	5	5	17	5	16	1	0	5
k141_69543	0	0	0	0	0	0	0	134	0	1
k141_31148	16	3	1	21	0	11	0	1	23	18
k141_6483	0	1	0	0	10	0	47	0	0	0
k141_18350	4	7	3	5	7	7	2	0	0	4
k141_93236	9	2	2	6	3	20	0	0	37	33
k141_31157	11	0	2	3	0	6	1	0	18	25
k141_69546	39	1	31	38	8	9	0	0	0	73
k141_93239	0	0	0	0	0	0	0	1	8	46
k141_6497	3	4	2	0	0	10	1	10	0	0
k141_31160	10	0	0	0	0	0	0	0	0	2
k141_31165	0	10	1	3	6	6	4	10	0	2
k141_93245	2	2	0	1	14	7	0	6	0	0
k141_93247	0	0	0	1	1	1	0	0	20	0
k141_69547	185	734	127	123	543	224	822	0	2	30
k141_93251	17	0	0	3	1	4	0	0	9	6
k141_6508	0	0	0	3	1	36	0	0	89	32
k141_93253	4	7	1	6	9	16	0	2	9	2
k141_80645	385	0	458	465	10	4	1	2	114	132
k141_31176	0	19	0	1	49	6	67	1	2	0
k141_93254	6	8	7	5	15	5	11	0	0	3
k141_31178	1	3	2	1	4	0	7	0	0	2
k141_80646	5	10	6	9	9	9	11	0	0	5
k141_69549	1	0	30	148	1	4	0	0	3	7
k141_69550	0	1	0	1	0	0	0	0	1	17
k141_93260	1	0	0	2	0	0	0	0	2	24
k141_6534	10	2	0	0	0	0	1	0	5	0
k141_6538	10	7	0	1	5	70	9	29	0	4
k141_69552	76	11	148	227	457	38	42	5	55	54
k141_80657	0	2	0	0	5	10	0	0	174	4
k141_6545	2	8	0	0	10	1	0	0	0	1
k141_69554	51	1	11	21	1	7	0	0	2	3
k141_31181	2	0	60	253	0	3	0	1	2	1
k141_31184	0	0	0	1	8	0	14	0	0	0
k141_80661	7	6	3	11	20	7	12	0	0	5
k141_93261	0	66	1	1	119	18	222	3	1	5
k141_6553	5	0	3	3	0	7	0	0	17	59
k141_18362	68	134	85	99	276	47	205	225	163	70
k141_31187	8	37	6	13	20	5	17	74	17	4
k141_69559	40	27	8	44	58	60	6	5	0	34
k141_18365	1	4	1	1	12	2	0	0	1	3
k141_93266	1	6	1	5	8	8	7	0	0	3
k141_31197	1	11	1	2	8	0	0	0	0	1
k141_18366	5	2	2	6	2	4	0	0	17	67
k141_18370	0	0	0	1	0	19	0	0	0	0
k141_69572	0	1	0	0	0	0	0	0	61	0
k141_93271	4	0	35	138	2	7	0	2	8	19
k141_31218	6	0	0	0	0	0	0	0	13	6
k141_69580	6	0	4	11	2	16	0	0	33	30
k141_31221	0	0	0	2	0	11	0	0	0	2
k141_18384	6	0	3	11	1	5	1	0	3	6
k141_18385	0	0	0	0	0	0	0	0	15	0
k141_69582	7	10	1	10	21	2	14	0	1	10
k141_69583	4	0	1	5	0	0	0	0	1	0
k141_69584	1	1	1	6	0	2	0	0	11	55
k141_31241	0	0	0	0	0	0	0	1	15	0
k141_69589	0	0	1	0	0	0	0	0	53	3
k141_18397	0	0	0	0	20	0	67	1	2	0
k141_31250	7	0	0	3	4	12	0	0	24	38
k141_69595	1	0	1	0	0	0	0	0	4	22
k141_80663	2	134	44	11	90	24	197	721	2	5
k141_31256	0	0	1	1	0	1	0	0	1	27
k141_69603	0	0	0	0	0	20	0	0	0	0
k141_31264	20	1	0	5	5	2	7	0	0	10
k141_31266	0	0	0	0	13	0	34	0	0	0
k141_80682	1	0	1	0	0	0	0	0	5	36
k141_69609	0	0	0	0	21	3	82	0	0	0
k141_69614	0	0	0	0	0	7	0	0	7	4
k141_80691	0	0	0	0	0	1	23	0	0	0
k141_31281	3	0	7	38	1	5	0	1	2	3
k141_69615	0	0	0	0	25	0	106	1	1	0
k141_31289	0	2	1	0	9	1	9	35	0	1
k141_69617	1	0	0	0	0	1	0	0	36	0
k141_31296	1	4	1	0	7	0	0	0	0	0
k141_18399	108	15	120	501	499	56	96	7	36	37
k141_69619	0	14	0	0	43	35	2	29	0	0
k141_18400	3	0	17	39	2	6	0	1	3	11
k141_93282	4	7	4	279	38	26	1	634	3	261
k141_93284	11	2	4	4	1	28	0	2	10	11
k141_18404	7	0	14	27	0	18	0	0	41	57
k141_31300	0	0	0	0	2	21	0	0	89	1
k141_69632	1	3	0	0	7	6	0	0	3	0
k141_93288	1	0	0	0	0	1	0	0	2	26
k141_31305	0	0	3	3	2	6	0	0	33	38
k141_69635	1	0	0	1	0	3	0	0	0	18
k141_31309	0	0	5	6	0	3	0	0	7	0
k141_31310	12	0	1	2	0	1	0	0	3	1
k141_93296	0	0	0	0	0	0	0	0	26	0
k141_69641	4	0	2	11	2	3	0	1	1	4
k141_31316	1	0	0	0	1	6	0	0	2	9
k141_69647	5	2	2	0	5	3	7	0	0	1
k141_31324	1	2	1	8	3	18	0	0	21	17
k141_69652	0	0	0	0	4	1	24	0	1	1
k141_18410	25	60	18	35	124	18	83	110	67	36
k141_31326	0	28	13	0	17	3	32	126	1	0
k141_31334	2	0	1	0	0	15	0	0	3	0
k141_93304	0	43	1	0	190	126	3	142	1	0
k141_93308	0	0	8	21	0	1	0	0	0	1
k141_69661	2	87	3	2	138	23	366	8	0	6
k141_69666	1	8	3	0	6	0	8	35	0	2
k141_55237	1322	402	251	961	1668	1566	152	101	13	779
k141_93335	0	0	0	1	0	0	0	0	24	2
k141_93337	3	0	0	3	5	7	0	0	12	7
k141_55240	7	7	3	2	10	7	11	0	0	1
k141_55243	0	0	1	1	0	0	0	1	9	42
k141_93344	0	10	0	0	6	0	15	0	0	0
k141_80692	713	57	1164	1701	3833	311	321	38	523	441
k141_55247	1	0	0	2	22	0	75	0	2	0
k141_93353	0	0	13	1	0	1	0	1	0	33
k141_69676	2	1	44	243	1	11	0	1	6	8
k141_69677	0	0	0	0	0	22	0	0	1	0
k141_93365	0	0	0	0	0	1	0	1	5	25
k141_55249	0	9	2	1	66	46	2	31	0	1
k141_93372	0	0	1	0	0	10	0	0	0	0
k141_93373	0	0	0	0	3	0	18	0	0	0
k141_80694	0	1	1	0	0	4	1	359	1	4
k141_93375	0	0	0	0	0	0	0	0	2	18
k141_80696	3	0	5	3	0	0	0	0	1	1
k141_80699	0	0	0	0	5	0	14	0	1	0
k141_93376	11	0	1	24	1	0	0	2	1	15
k141_55257	3	11	18	3	52	34	0	0	0	7
k141_80701	4	5	0	0	3	43	2	15	0	0
k141_6559	16	11	8109	5994	22	25	4	490	12674	3578
k141_80703	8	12	3	4	10	9	24	0	0	5
k141_55267	0	0	14	41	0	1	0	0	3	1
k141_69689	2	60	0	2	87	11	222	5	0	2
k141_6572	0	0	4	8	0	0	0	0	6	1
k141_80707	0	0	0	0	1	56	0	0	1	0
k141_93377	120	1	25	48	0	13	1	0	0	19
k141_55268	0	0	0	0	0	70	0	0	0	2
k141_6575	0	0	11	63	2	2	0	0	13	1
k141_80712	0	0	0	0	0	20	0	0	0	0
k141_55269	0	0	1	4	1	0	0	0	4	58
k141_69691	16	3	6	33	9	6	1	1	6	29
k141_80717	0	0	0	0	0	0	0	0	4	21
k141_93387	0	0	0	0	0	0	0	0	17	1
k141_80721	0	0	0	0	0	15	0	0	0	0
k141_55273	4	1	0	3	2	21	0	0	44	43
k141_6577	0	0	2	50	3	1	0	63	0	41
k141_93388	131	58	155	138	39	43	46	50	9	107
k141_69698	2	0	0	1	0	1	0	0	28	3
k141_80723	0	0	0	1	0	1	0	0	4	32
k141_69699	3	0	0	4	4	1	0	0	2	2
k141_93390	10	0	9	38	0	4	0	0	2	19
k141_6579	0	16	7	2	6	4	18	80	1	2
k141_80727	0	0	1	1	0	0	0	0	6	38
k141_93393	0	0	0	0	0	0	0	26	0	0
k141_55286	0	0	0	0	13	0	49	0	0	0
k141_6585	8	11	0	8	15	8	9	1	0	2
k141_80729	0	0	0	1	2	0	0	124	1	1
k141_6587	0	0	0	0	6	0	26	0	0	0
k141_18413	2165	7	2464	2636	95	61	9	8	738	629
k141_93399	2	1	5	4	0	1	0	0	14	33
k141_69720	1	7	0	0	17	10	1	12	0	0
k141_6588	2	2	0	0	1	21	0	0	3	0
k141_69722	1	8	1	0	0	1	16	4	1	1
k141_93407	0	0	0	1	0	0	0	0	34	0
k141_80734	27	65	30	38	61	32	88	0	0	27
k141_18421	0	0	0	0	0	1	0	0	6	19
k141_93409	0	0	1	2	0	0	0	1	13	1
k141_93412	0	0	0	2	2	11	0	0	3	0
k141_69724	60	0	33	22	1	8	1	0	0	9
k141_18428	0	4	0	1	8	0	0	0	0	2
k141_55290	3	1	57	227	2	1	0	2	0	1
k141_80738	0	0	1	1	0	2	0	0	5	54
k141_55291	0	0	0	0	5	0	19	0	0	0
k141_55292	11	0	0	12	0	0	0	0	0	2
k141_93421	7	0	0	0	0	0	0	0	4	6
k141_80744	5	3	4	7	0	9	0	0	13	44
k141_6596	1	0	0	0	2	0	0	213	1	0
k141_43827	3821	379	6484	9278	21277	1800	1557	196	2500	2384
k141_93427	0	2	3	0	0	4	0	0	14	5
k141_80750	0	0	0	0	0	0	0	0	16	0
k141_93430	0	0	0	0	0	2	0	0	14	1
k141_80751	2	0	0	5	1	1	0	0	6	2
k141_6605	3	2	0	1	0	0	0	0	0	34
k141_55299	11	24	6	7	37	11	26	0	0	8
k141_43839	12	11	4	1	9	6	9	0	0	6
k141_43840	0	0	0	0	0	12	0	0	0	0
k141_93439	0	0	0	2	0	0	0	0	8	64
k141_6613	24	0	31	20	0	16	0	0	6	15
k141_80761	0	17	0	0	8	1	22	2	0	0
k141_93440	0	0	0	0	0	14	0	0	0	0
k141_18430	0	5	0	117	15	7	0	284	1	111
k141_69728	162	4	162	123	20	87	0	0	59	79
k141_55304	1	0	0	0	25	1	85	0	0	0
k141_80766	21	0	6	9	0	2	0	0	0	0
k141_18433	0	0	0	0	12	0	35	1	0	0
k141_80769	4	1	2	2	0	1	0	0	7	20
k141_18435	0	0	0	0	7	0	20	0	0	0
k141_69732	1	9	0	0	9	3	44	0	0	0
k141_18436	0	0	0	0	0	0	0	0	3	9
k141_55308	2	19	3	4	27	18	11	36	0	5
k141_18438	0	0	0	0	0	13	0	0	0	0
k141_80778	0	0	7	6	0	1	0	0	8	3
k141_6616	0	2	0	0	0	0	0	257	0	0
k141_55323	4	0	9	3	1	0	0	0	1	0
k141_18441	9	13	2	6	17	7	15	0	1	3
k141_55324	0	0	0	1	0	13	0	0	0	0
k141_6617	0	0	0	0	11	0	48	0	0	0
k141_43841	1	0	84	369	0	8	0	2	6	22
k141_6624	0	0	0	0	0	0	0	0	18	0
k141_55333	4	10	0	4	5	4	10	0	0	1
k141_43847	0	0	0	0	0	0	0	0	12	0
k141_43853	1	13	0	0	2	0	1	0	3	0
k141_6631	0	0	0	0	0	0	0	0	2	20
k141_55337	4	0	0	2	0	10	0	0	69	13
k141_6634	5	0	1	3	0	7	0	0	32	9
k141_80780	0	71	0	0	88	25	200	3	1	3
k141_18462	0	0	0	0	0	1	0	0	25	2
k141_6636	4	0	1	7	0	2	0	1	1	9
k141_43866	4	8	3	5	4	7	11	0	1	1
k141_80787	0	0	0	0	1	0	0	3	3	32
k141_55344	0	25	0	0	27	0	58	0	0	0
k141_55345	0	0	1	0	0	1	0	0	3	11
k141_43868	0	0	0	0	0	0	0	0	26	1
k141_80791	0	0	6	9	0	2	0	0	9	1
k141_55347	0	0	0	1	0	21	0	0	2	6
k141_18465	9	20	10	6	43	6	24	0	1	5
k141_80793	3	4	1	5	8	3	8	0	0	2
k141_93442	3	157	0	2	254	46	567	20	0	3
k141_18466	3	7	1	0	5	1	2	0	0	1
k141_43872	1	0	0	0	0	0	0	0	22	1
k141_6642	1	0	2	0	18	2	94	0	0	1
k141_43873	37	0	34	20	2	13	0	0	9	14
k141_6643	0	0	0	0	0	0	0	55	0	0
k141_6644	7	1	1	0	0	5	0	0	264	4
k141_93450	0	0	1	0	0	1	0	0	2	20
k141_43878	0	10	1	2	8	1	0	0	0	1
k141_80806	2	1	6	9	9	20	1	1	33	51
k141_6645	0	5	0	0	16	11	2	14	0	0
k141_43879	0	0	0	0	0	0	0	0	14	0
k141_18475	0	1	1	0	1	5	0	0	51	1
k141_80809	2	0	2	2	9	8	0	0	7	4
k141_18476	3	11	2	4	9	5	9	0	0	6
k141_55371	3	11	0	3	10	0	3	0	0	5
k141_6653	2	1	4	3	3	8	0	0	7	36
k141_80813	0	0	0	0	1	1	0	0	49	1
k141_43891	0	0	0	2	4	0	17	0	0	0
k141_55377	1	0	1	1	0	1	1	85	0	2
k141_43897	1	0	0	0	1	7	0	0	41	2
k141_80820	1	0	162	108	1	11	0	12	232	56
k141_93463	0	0	35	113	1	1	0	0	3	4
k141_18480	85	8	26	31	0	13	2	0	1	10
k141_6658	92	0	28	40	0	7	0	1	0	6
k141_43900	25	0	9	19	0	4	0	0	1	8
k141_93473	0	0	0	0	0	17	0	0	0	0
k141_6662	5	0	3	9	2	0	0	0	3	5
k141_55386	1	0	2	0	0	3	0	0	11	62
k141_43904	11	0	3	12	2	6	0	3	4	18
k141_6665	5	0	0	4	0	8	0	0	29	5
k141_93476	0	12	0	0	26	4	47	0	0	0
k141_43908	0	0	8	5	0	0	0	0	4	0
k141_80826	27	69	16	17	40	8	52	184	123	6
k141_55389	17	0	2	24	5	4	1	1	8	21
k141_43909	3	0	0	0	0	0	0	0	7	3
k141_93481	0	0	1	0	0	2	0	0	2	33
k141_43918	1	2	2	2	4	2	0	0	0	1
k141_80831	1	0	3	0	0	2	0	0	15	99
k141_55392	0	1	1	1	2	9	0	0	117	1
k141_55393	3	0	0	0	0	11	0	0	0	0
k141_93492	0	0	0	0	0	2	0	0	10	62
k141_43920	5	11	2	1	12	1	5	0	0	6
k141_80835	0	1	0	0	0	1	0	0	36	1
k141_80836	0	0	1	0	0	0	0	0	1	13
k141_93497	0	0	0	0	0	1	0	0	1	12
k141_43928	1	2	1	6	3	3	7	0	0	3
k141_93498	0	0	0	0	5	0	20	0	0	1
k141_80845	2	0	3	1	0	0	0	0	3	1
k141_31338	379	721	383	612	1629	251	1004	1282	914	409
k141_80847	0	0	0	1	0	4	0	0	6	13
k141_55402	0	21	0	1	52	13	110	4	0	1
k141_31341	3	0	1	7	1	3	0	0	9	7
k141_93506	1	0	12	56	0	3	0	1	1	1
k141_43945	1	2	0	1	20	14	0	0	1	0
k141_93509	1	0	0	1	0	1	0	0	468	1
k141_43946	14	0	6	11	0	2	0	0	0	1
k141_31355	6	0	0	0	0	0	0	0	4	9
k141_80854	0	0	1	0	0	10	0	0	92	2
k141_43954	3	7	3	0	7	6	5	0	0	0
k141_43955	0	0	0	0	0	14	0	0	0	0
k141_55417	1	0	4	5	1	4	0	0	56	2
k141_80857	0	0	0	0	7	0	25	0	0	1
k141_31361	0	0	0	1	1	0	0	1	29	0
k141_43958	0	0	0	0	0	0	0	0	4	16
k141_55420	0	0	0	0	0	16	0	0	2	0
k141_93522	0	10	0	0	22	1	51	0	0	0
k141_43959	2	3	3	2	4	4	8	0	0	1
k141_31364	6	0	4	9	1	5	0	0	2	6
k141_93525	0	0	0	0	0	2	0	0	8	28
k141_55427	2	0	4	1	2	1	0	0	3	7
k141_80863	0	0	0	0	15	0	63	0	0	1
k141_31369	2	0	2	1	0	0	0	0	5	58
k141_80866	0	0	0	0	13	0	21	0	0	0
k141_93527	0	0	0	39	3	1	0	84	0	29
k141_43970	1	0	12	75	0	3	0	1	3	5
k141_55436	0	0	0	0	0	0	0	63	0	0
k141_31374	0	0	0	0	5	0	12	0	0	0
k141_31376	0	0	0	0	3	16	0	0	0	0
k141_43976	4	1	2	16	0	2	0	1	3	8
k141_80877	5	4	3	4	3	7	0	0	6	5
k141_55441	7	25	8	3	12	1	33	123	20	1
k141_43981	4	1	3	7	0	3	0	0	0	4
k141_80883	3	4	1	4	15	3	8	0	0	2
k141_43983	9	8	6	5	9	8	16	0	0	2
k141_55449	1	0	0	1	0	0	0	0	13	0
k141_55451	3	0	0	0	1	1	1	2	3	7
k141_80887	4	0	2	7	0	7	0	0	3	6
k141_43986	2	0	0	0	0	0	0	0	2	12
k141_93543	0	0	0	0	0	0	0	86	0	2
k141_55453	5	6	2	0	4	1	6	22	11	1
k141_93544	0	0	0	0	0	2	0	0	20	0
k141_43988	0	0	1	1	0	0	0	0	4	35
k141_18481	671	333	123	470	1341	944	1214	421	4	407
k141_93547	0	0	0	0	4	0	11	0	0	0
k141_80894	14	0	3	2	1	0	0	0	0	3
k141_18483	0	0	0	0	0	0	0	0	11	0
k141_69746	4119	2	1894	285	9	22	2	1	18	1363
k141_43994	5	17	3	8	12	4	12	0	0	2
k141_93555	0	0	1	0	1	2	0	0	21	1
k141_43997	0	0	0	0	0	12	0	0	0	0
k141_55469	8	7	3	4	12	8	10	1	0	2
k141_18499	10	0	0	0	0	0	0	0	0	9
k141_55474	0	0	2	1	0	0	0	0	0	25
k141_93564	0	0	1	0	0	2	0	0	8	24
k141_93565	0	0	0	0	0	0	0	0	1	16
k141_69763	0	0	0	0	0	0	0	0	18	0
k141_55479	0	0	0	0	0	19	0	0	0	0
k141_93566	0	0	0	0	6	0	20	0	0	0
k141_44012	0	0	5	21	0	0	0	0	1	0
k141_44015	1	1	0	0	0	34	0	0	0	1
k141_44016	1	0	6	26	2	0	0	0	0	2
k141_55494	0	0	7	24	0	0	0	0	1	1
k141_80905	1	0	42	211	1	5	0	0	2	8
k141_80908	7	0	1	1	0	9	0	0	9	28
k141_69779	1	0	21	71	0	4	0	0	3	4
k141_69780	0	0	0	0	0	14	0	0	0	0
k141_44025	158	196	186	114	120	50	160	26	8	87
k141_80914	2	0	8	29	3	8	0	0	8	5
k141_55505	19	0	17	10	2	10	0	0	8	11
k141_44026	2	0	22	70	0	1	2	0	2	1
k141_31380	0	135	6	3	458	331	18	285	8	1
k141_44032	2	0	2	4	2	0	0	0	9	0
k141_69798	0	0	0	0	0	0	0	136	0	0
k141_55524	0	0	3	0	0	0	0	0	1	20
k141_93574	3	31	7	131	222	137	5	14	1	4
k141_44035	0	15	2	0	7	0	17	45	0	0
k141_31390	0	0	0	0	0	3	0	0	19	1
k141_18504	1	92	6	2	157	31	417	5	4	3
k141_93576	0	0	0	0	0	0	0	0	13	0
k141_31394	1	0	2	0	0	1	0	0	5	20
k141_55529	0	0	0	0	0	2	0	0	6	34
k141_93581	0	0	0	0	0	0	0	0	16	0
k141_80933	16	27	9	19	30	16	34	0	0	9
k141_93582	0	0	7	8	0	0	0	0	6	0
k141_69807	124	99	101	71	61	24	87	74	14	214
k141_55533	33	0	27	18	0	13	0	0	8	10
k141_44051	5	0	1	3	0	2	0	0	2	10
k141_69813	12	2	5	15	2	2	0	0	8	6
k141_18512	0	18	1	0	65	43	1	21	0	0
k141_80934	77	0	18	25	0	6	0	1	0	5
k141_55536	1	0	12	54	0	0	0	0	1	1
k141_44054	0	0	0	0	11	0	44	0	1	0
k141_69814	5	13	8	4	8	0	5	28	14	0
k141_18517	0	0	1	0	0	0	0	0	3	13
k141_93589	0	0	3	0	1	0	0	0	4	51
k141_44055	1	2	2	3	4	1	1	0	0	0
k141_93591	10	0	0	1	0	1	0	0	9	7
k141_93592	8	5	3	6	1	9	0	0	21	14
k141_44059	0	0	6	7	0	0	0	0	6	1
k141_44060	7	9	0	2	11	6	12	0	0	1
k141_93597	17	0	16	9	0	13	0	0	4	10
k141_55543	0	0	6	0	0	0	0	0	9	126
k141_31432	9	1	0	3	4	1	0	0	4	6
k141_44061	0	0	14	25	0	0	0	0	0	1
k141_69836	0	1	2	0	7	0	0	0	0	0
k141_18534	0	0	2	0	0	0	0	0	4	31
k141_93599	0	0	0	0	0	3	0	0	19	4
k141_44063	0	0	7	6	0	0	0	0	4	0
k141_93600	0	0	0	0	1	0	18	0	0	0
k141_55545	33	0	9	13	0	6	0	1	0	5
k141_18535	1	0	16	56	0	3	1	0	5	8
k141_55552	0	0	9	16	0	1	0	0	4	0
k141_44068	2	0	1	0	0	0	0	0	3	36
k141_93601	3	0	39	91	0	5	0	0	5	3
k141_93602	0	0	5	0	0	1	0	0	0	14
k141_55559	0	5	5	1	16	0	0	0	0	0
k141_6681	1002	298	208	765	1187	1151	114	71	16	648
k141_80935	743	1	377	60	3	5	1	2	1	273
k141_55561	3	0	1	4	1	6	0	0	12	2
k141_80938	0	0	6	25	0	0	0	0	0	1
k141_6685	2	6	3	2	3	2	2	0	1	4
k141_55565	0	0	1	0	1	0	0	0	2	22
k141_93608	0	0	0	0	0	0	0	0	17	8
k141_18541	0	0	27	210	0	7	0	0	7	12
k141_55566	0	0	0	45	3	1	12	0	2	0
k141_6692	1	0	1	1	0	1	0	0	28	1
k141_93614	0	0	0	0	0	2	0	53	0	0
k141_55572	7	0	4	5	0	1	0	0	0	2
k141_18552	5	0	0	5	0	12	0	0	0	12
k141_55576	1	4	0	0	6	2	0	0	0	0
k141_6700	0	0	0	0	0	1	0	32	0	0
k141_80952	0	33	0	0	42	5	59	2	0	1
