feature	1_RP_001	1_RP_002	1_RP_003	1_RP_004	1_RP_011	1_RP_012	1_RP_013	1_RP_014
330.336748@784.76[1]	77074.5703	38048.5508	42632.3086	42611.7305	36934.5195	28406.4902	441075.1875	85339.3828
522.358222@854.01[1]	32936900.0000	37915980.0000	31280060.0000	22736000.0000	17650400.0000	17489900.0000	17674540.0000	15411810.0000
1003.672441@840.30[1]	181641.7969	180017.7969	85687.7578	55341.1406	21330.4395	19517.1797	15003.7598	12678.7500
285.290215@876.72[1]	50421.5508	83105.9609	57780.1719	17097.9395	41984.1016	55679.3789	33104.7500	30880.1992
1069.626189@830.51[1]	476914.3125	439973.8125	336034.0000	278786.3125	347786.5000	311159.0938	303481.5938	245481.2969
1095.414271@745.24[2]	28554.7305	260641.0000	49063.0117	20305.9297	116224.8984	31602.2598	28332.6309	40493.7383
441.115807@573.50[]	65770.3906	38879.0703	31056.9004	30652.7598	15931.7598	29436.8594	12826.0098	34822.8594
234.993048@509.87[]	35819.6406	24807.1309	23919.1309	21217.4902	40476.3516	27150.4297	25722.3203	28342.2402
268.073784@491.78[]	228359.4062	64097.7305	72898.5234	37433.2891	52933.9102	61368.1289	100893.6016	71952.7188
178.122977@299.02[]	31529.1895	61983.9219	60407.2500	70710.2734	66604.1172	58361.1289	69206.7188	66123.8828
283.050580@542.24[1]	152641.2969	75162.8672	90724.1797	48079.1797	95808.0000	81913.7031	50518.4688	74819.1094
146.117533@54.94[]	102014.7031	282147.5000	238759.0938	205679.5000	224695.9062	218012.2969	180029.2969	259140.9062
281.135789@809.37[]	79002.5234	72803.8516	67529.4609	60193.6602	51748.5508	69907.5625	60531.5508	70890.0703
135.102143@207.89[]	311508.5000	130377.0000	154396.9062	205205.5000	112496.8984	86979.6562	98840.6797	96207.0781
463.303568@812.14[1]	155014.5000	57269.2617	35176.1719	35685.2188	29885.7793	38091.8789	26537.2402	33198.2617
269.088697@493.27[]	129478.8984	51164.2891	43642.1914	36500.4492	48440.7617	49246.1406	45473.0000	76801.9062
456.405014@816.64[]	72551.3516	40390.8086	23544.6699	19339.9004	35028.6914	12324.7500	17247.8203	32994.7383
316.985941@189.39[]	78451.2969	63147.0781	86642.2188	67852.7422	163945.2031	85879.7500	145088.5938	117381.8984
788.928254@567.88[2]	191912.4062	158722.9062	54023.2891	37323.2812	81914.1094	141752.5938	156728.4062	174318.5938
373.273748@799.99[1]	2891774.0000	21009.5703	84114.7812	76162.5000	20251.4102	125927.2031	57253.6914	22737.7207
165.026508@262.68[]	45580.0391	22217.3496	23090.3906	22298.6504	28796.1406	27546.0898	34382.9219	27215.9199
146.081306@148.01[]	366146.5000	406550.0938	263663.1875	266743.0938	1218416.0000	211913.0938	309489.8125	892643.6250
437.235875@389.79[]	37160.1797	30631.3105	19027.8594	24974.7598	32909.5312	25882.1992	39921.1719	71623.6719
432.693700@56.42[]	109288.0000	89211.5703	91990.2188	86903.9062	84239.2734	84353.2031	90281.4609	86716.4375
251.164797@811.23[]	77505.1172	70596.3984	162801.4062	163126.2969	132566.7969	63969.8906	125100.8984	72072.6328
238.063386@183.69[1]	947596.8125	365912.0938	570801.5000	311506.5000	887440.8125	456133.5000	1817578.0000	895826.0000
549.251489@785.71[]	53872.8008	34110.6602	43239.1094	59396.9414	48195.2188	34609.5508	54275.0195	55506.2109
275.125999@807.26[]	39801.8984	26552.0098	35516.2383	42951.9492	34931.8086	63892.8516	97420.6016	61502.0391
504.345444@854.13[]	45093.0117	53151.6484	43527.9102	29749.3105	29795.2305	26034.4395	25946.4707	22599.7109
281.051610@786.95[1]	44140.0312	44181.0586	46682.1602	45126.5508	33208.8906	52932.9297	36979.1406	43645.0312
